gaia_mag,detected,distance_px,source
15.257219314575195,True,2.90,rdls
8.73708438873291,True,0.89,rdls
6.932096004486084,True,1.22,rdls
10.096783638000488,False,,rdls
6.922459125518799,True,0.86,rdls
8.851381301879883,True,0.93,rdls
11.738127708435059,False,,rdls
10.115667343139648,False,,rdls
11.344619750976562,False,,rdls
10.299707412719727,False,,rdls
7.224283695220947,True,0.84,rdls
10.971920013427734,False,,rdls
10.108834266662598,False,,rdls
9.084450721740723,True,1.35,rdls
9.875093460083008,False,,rdls
6.922459125518799,True,0.86,rdls
7.224283695220947,True,0.84,rdls
16.63102149963379,True,3.53,rdls
9.985430717468262,True,1.14,rdls
9.169397354125977,False,,rdls
7.922093868255615,False,,rdls
8.375807762145996,True,0.62,rdls
8.624509811401367,True,0.61,rdls
8.533025741577148,True,0.86,rdls
6.7981696128845215,True,0.62,rdls
7.932165622711182,True,1.07,rdls
8.866302490234375,True,0.91,rdls
6.356471538543701,True,1.06,rdls
7.619794845581055,True,1.14,rdls
10.724897384643555,True,0.91,rdls
8.791097640991211,True,1.16,rdls
11.160311698913574,True,0.70,rdls
10.735302925109863,True,0.93,rdls
7.348013401031494,True,0.72,rdls
8.822379112243652,True,0.82,rdls
6.621140003204346,False,,rdls
8.429609298706055,False,,rdls
8.666555404663086,True,0.45,rdls
8.57031536102295,False,,rdls
12.653827667236328,False,,rdls
19.977697372436523,False,,rdls
11.062941551208496,False,,rdls
9.049483299255371,False,,rdls
8.661680221557617,False,,rdls
7.7714762687683105,True,0.87,rdls
8.466485023498535,False,,rdls
8.886919975280762,False,,rdls
7.09876012802124,True,0.75,rdls
8.097660064697266,False,,rdls
7.496365070343018,False,,rdls
8.348639488220215,False,,rdls
18.247774124145508,True,1.03,rdls
8.575552940368652,True,0.83,rdls
8.588125228881836,True,1.13,rdls
18.461029052734375,False,,rdls
8.420816421508789,True,0.59,rdls
10.904229164123535,True,1.07,rdls
10.137046813964844,True,0.54,rdls
10.397073745727539,False,,rdls
4.100274085998535,True,0.78,rdls
8.106485366821289,True,0.55,rdls
9.051498413085938,False,,rdls
9.095098495483398,True,0.85,rdls
6.9205498695373535,False,,rdls
8.35378360748291,False,,rdls
7.882882595062256,True,0.87,rdls
5.264230251312256,False,,rdls
12.966459274291992,True,0.92,rdls
6.584900856018066,False,,rdls
5.604337692260742,False,,rdls
8.193582534790039,False,,rdls
7.005467414855957,False,,rdls
7.347492218017578,False,,rdls
7.347492218017578,False,,rdls
6.7113237380981445,True,0.86,rdls
4.231449127197266,True,1.46,rdls
4.231449127197266,True,1.46,rdls
7.6187262535095215,True,0.69,rdls
8.937994956970215,False,,rdls
10.459444046020508,True,1.01,rdls
11.286940574645996,False,,rdls
10.125406265258789,True,1.15,rdls
9.556561470031738,True,0.99,rdls
9.435391426086426,True,4.01,rdls
10.660686492919922,True,0.72,rdls
10.771256446838379,True,0.59,rdls
5.1630988121032715,True,0.05,rdls
8.493518829345703,False,,rdls
7.77487850189209,True,1.39,rdls
7.845519542694092,True,0.97,rdls
8.07233715057373,True,0.89,rdls
12.470903396606445,True,1.13,rdls
8.33059310913086,False,,rdls
4.992712020874023,True,1.25,rdls
7.382998466491699,False,,rdls
7.881389617919922,True,0.75,rdls
8.978110313415527,True,0.68,rdls
7.7858428955078125,True,1.01,rdls
7.330114364624023,True,0.56,rdls
14.355595588684082,False,,rdls
7.177235126495361,True,0.77,rdls
8.221031188964844,True,1.20,rdls
8.840776443481445,True,0.57,rdls
8.796576499938965,False,,rdls
7.632884979248047,True,0.88,rdls
9.16981315612793,True,0.99,rdls
10.852919578552246,False,,rdls
9.842684745788574,True,3.42,rdls
9.915414810180664,True,1.00,rdls
8.609460830688477,True,2.24,rdls
8.609460830688477,True,1.73,rdls
10.624259948730469,True,1.44,rdls
8.609460830688477,True,1.73,rdls
8.444967269897461,False,,rdls
7.220285415649414,True,1.14,rdls
9.889052391052246,True,0.74,rdls
11.103737831115723,False,,rdls
9.011557579040527,True,1.16,rdls
10.713285446166992,False,,rdls
7.463438987731934,False,,wcs
16.373098373413086,False,,rdls
14.14441204071045,True,1.04,rdls
8.33576774597168,False,,rdls
8.473906517028809,False,,rdls
9.689918518066406,True,0.91,rdls
14.136003494262695,False,,rdls
8.245250701904297,False,,rdls
8.913893699645996,True,1.01,rdls
9.080598831176758,False,,rdls
8.212342262268066,True,0.92,rdls
8.911750793457031,False,,rdls
7.348013401031494,True,0.86,rdls
